,before,hash,range
0,1.4819748401641846,1.5801808834075928,1.587873935699463
1,1.446061611175537,1.5502164363861084,1.4828333854675293
2,1.4645004272460938,1.4965989589691162,1.4277794361114502
3,1.4014718532562256,1.475400447845459,1.582165241241455
4,1.3542351722717285,1.5540249347686768,1.4831390380859375
5,1.414698839187622,1.4997482299804688,1.5895581245422363
6,1.3984339237213135,1.4845826625823975,1.4915401935577393
7,1.4286198616027832,1.5014958381652832,1.6060044765472412
8,1.4889397621154785,1.4602077007293701,1.4286508560180664
9,1.4252188205718994,1.4696159362792969,1.5433757305145264
min,1.3542351722717285,1.4602077007293701,1.4277794361114502
max,1.4889397621154785,1.5801808834075928,1.6060044765472412
avg,1.428944170475006,1.5093717177708943,1.521392027537028
