,1_select.sql,2_select.sql,3_select.sql,4_update.sql,5_delete.sql,6_insert.sql
0,2.0459752082824707,3.2302098274230957,1.8289237022399902,4.27142858505249,7.078312397003174,2.4843268394470215
1,1.8741180896759033,3.3264057636260986,1.7466139793395996,4.213896036148071,7.285251617431641,2.347421884536743
2,1.9174823760986328,2.9278109073638916,1.7484478950500488,4.317755937576294,7.12126898765564,2.285813570022583
3,1.7732670307159424,3.3090198040008545,1.7323861122131348,4.24753212928772,7.532257556915283,2.2968950271606445
4,2.0217959880828857,3.2187252044677734,1.7918438911437988,4.035502672195435,6.937698841094971,2.3742921352386475
5,2.1013357639312744,3.0122339725494385,1.8229682445526123,4.290310859680176,7.442856073379517,2.31738018989563
6,1.9087011814117432,3.2430193424224854,1.7249531745910645,4.267178058624268,7.4755706787109375,2.3083109855651855
7,1.9694299697875977,3.1252176761627197,1.807325839996338,4.694437503814697,7.35181736946106,2.381791114807129
8,2.050069808959961,3.2422521114349365,1.7658226490020752,4.33416748046875,7.169490098953247,2.1328065395355225
9,1.892432689666748,3.239910364151001,1.8935813903808594,4.463847637176514,6.825149774551392,2.273073196411133
min,1.7732670307159424,2.9278109073638916,1.7249531745910645,4.035502672195435,6.825149774551392,2.1328065395355225
max,2.1013357639312744,3.3264057636260986,1.8935813903808594,4.694437503814697,7.532257556915283,2.4843268394470215
avg,1.952434241771698,3.1774184703826904,1.790116786956787,4.322166423002879,7.214756727218628,2.3182704051335654
std,0.1098466537468311,0.13941465018970886,0.057978873437150726,0.2011770263728914,0.25086122319819015,0.10630906841149718
