,before,bm,bt,fbm,fbt
0,2.675985097885132,2.063922166824341,2.278585910797119,2.4263100624084473,2.6374337673187256
1,2.5333852767944336,2.1763927936553955,2.3432111740112305,2.1168665885925293,2.367323637008667
2,2.558279514312744,2.127166509628296,2.3819093704223633,2.034663677215576,2.0600345134735107
3,2.573587417602539,2.152371406555176,2.1086983680725098,1.9647243022918701,2.0385403633117676
4,2.5780484676361084,2.1152524948120117,1.9265763759613037,1.9895429611206055,2.0327930450439453
5,2.569492816925049,1.9344654083251953,2.0452630519866943,1.9973573684692383,2.057223081588745
6,2.562037229537964,1.8537085056304932,2.2478861808776855,1.9740164279937744,2.043731927871704
7,2.5758109092712402,1.900864839553833,2.1892080307006836,1.9782664775848389,2.0554070472717285
8,2.545675754547119,1.9620568752288818,2.1229560375213623,1.9708919525146484,2.0460710525512695
9,2.546079635620117,1.9889161586761475,2.0635311603546143,1.9875133037567139,2.0580227375030518
min,2.5333852767944336,1.8537085056304932,1.9265763759613037,1.9647243022918701,2.0327930450439453
max,2.675985097885132,2.1763927936553955,2.3819093704223633,2.4263100624084473,2.6374337673187256
avg,2.577312707901001,2.0254348715146384,2.1680259505907693,2.06926562388738,2.172233998775482
